[23Mar2025 18:51:20.279] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[23Mar2025 18:51:20.282] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.14 by Ubuntu; OS Linux arch amd64 version 6.8.0-1021-azure
[23Mar2025 18:51:21.162] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[23Mar2025 18:51:21.215] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/server/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[23Mar2025 18:51:21.554] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/server/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.7/fmlcore-1.20.1-47.3.7.jar is missing mods.toml file
[23Mar2025 18:51:21.555] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/server/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.7/javafmllanguage-1.20.1-47.3.7.jar is missing mods.toml file
[23Mar2025 18:51:21.556] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/server/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.7/lowcodelanguage-1.20.1-47.3.7.jar is missing mods.toml file
[23Mar2025 18:51:21.558] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/server/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.7/mclanguage-1.20.1-47.3.7.jar is missing mods.toml file
[23Mar2025 18:51:21.813] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 8 dependencies adding them to mods collection
[23Mar2025 18:51:23.828] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[23Mar2025 18:51:23.970] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [de.maxhenkel.car.MixinConnector]
[23Mar2025 18:51:23.972] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments [nogui]
[23Mar2025 18:51:23.992] [main/WARN] [mixin/]: Reference map 'graveyard-FORGE-forge-refmap.json' for graveyard-forge.mixins.json could not be read. If this is a development environment you can ignore this message
[23Mar2025 18:51:24.126] [main/INFO] [Puzzles Lib/]: Loading 40 mods:
	- aiimprovements 0.5.2
	- apocalypsenow 3.0.4
	- automobility 0.4.2+1.20.1-forge
	- born_in_chaos_v1 1.6.3
	- car 1.20.1-1.0.34
	- cataclysm 2.62
	- curios 5.12.1+1.20.1
	- eeeabsmobs 1.20.1-0.97
	- explosiveenhancement 1.1.0
	- extinction 1.1.0
	- extragore 5.2.3.1
	- faded_conquest_2 1.3.0
	- forge 47.3.7
	- geckolib 4.7
	- graveyard 3.1
	- horde_hoard 1.1.0
	- horror_element_mod 1.6.1
	- jei 15.20.0.106
	- legendary_monsters 1.20.1
	- lionfishapi 2.4-Fix
	- lostcities 1.20-7.3.6
	- lrarmor 0.1.4.3
	- minecraft 1.20.1
	- mowziesmobs 1.7.1
	- mutantmonsters 8.0.7
	- pointblank 1.9.6
	- puzzleslib 8.1.25
		\-- puzzlesaccessapi 8.0.7
	- securitycraft 1.9.12
	- sona 1.2.1
	- tacz 1.1.4-hotfix
		\-- mixinextras 0.3.6
	- tectonic 2.4.1
	- terralith 2.5.4
	- underground_bunkers 1.0.5
	- wegotrunnners 1.0.0
	- zombie_extreme 0.2.6.4
	- zombie_island 0.1.3.3
	- zombiekit 2.1.1
	- zombiesmore 2.0.0
[23Mar2025 18:51:24.998] [main/ERROR] [net.minecraftforge.fml.loading.RuntimeDistCleaner/DISTXFORM]: Attempted to load class net/minecraft/client/gui/Gui for invalid dist DEDICATED_SERVER
[23Mar2025 18:51:24.999] [main/WARN] [mixin/]: Error loading class: net/minecraft/client/gui/Gui (java.lang.RuntimeException: Attempted to load class net/minecraft/client/gui/Gui for invalid dist DEDICATED_SERVER)
[23Mar2025 18:51:24.999] [main/WARN] [mixin/]: @Mixin target net.minecraft.client.gui.Gui was not found car.mixins.json:GuiMixin
[23Mar2025 18:51:25.001] [main/WARN] [mixin/]: Error loading class: net/minecraft/client/gui/screens/SoundOptionsScreen (java.lang.ClassNotFoundException: net.minecraft.client.gui.screens.SoundOptionsScreen)
[23Mar2025 18:51:25.001] [main/WARN] [mixin/]: @Mixin target net.minecraft.client.gui.screens.SoundOptionsScreen was not found car.mixins.json:SoundOptionsScreenMixin
[23Mar2025 18:51:25.494] [main/INFO] [MixinExtras|Service/]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.3.6).
[23Mar2025 18:51:28.141] [main/WARN] [mixin/]: Mixin sona.mixins.json:ItemStackMixin has multiple constructors, (Ljava/lang/Class;)V was selected

[23Mar2025 18:51:31.948] [modloading-worker-0/INFO] [Puzzles Lib/]: Constructing common components for mutantmonsters:main
[23Mar2025 18:51:32.926] [modloading-worker-0/INFO] [graveyard/]: Registered JSON trade offer adapter.
[23Mar2025 18:51:33.997] [modloading-worker-0/INFO] [pointblank/]: Loading mod pointblank
[23Mar2025 18:51:34.240] [modloading-worker-0/INFO] [Puzzles Lib/]: Constructing common components for puzzleslib:main
[23Mar2025 18:51:34.318] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.3.7, for MC 1.20.1 with MCP 20230612.114412
[23Mar2025 18:51:34.318] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.3.7 Initialized
[23Mar2025 18:51:53.793] [main/WARN] [net.minecraft.network.syncher.SynchedEntityData/]: defineId called for: class net.mcreator.borninchaosv.entity.BabySpiderEntity from class net.mcreator.borninchaosv.entity.MotherSpiderEntity
[23Mar2025 18:51:53.849] [main/INFO] [Puzzles Lib/]: Loading common config for mutantmonsters
[23Mar2025 18:51:53.850] [Thread-1/INFO] [Puzzles Lib/]: Reloading common config for mutantmonsters
[23Mar2025 18:51:53.851] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/server/servidor_minecraft/config/mowziesmobs-common.toml is not correct. Correcting
[23Mar2025 18:51:53.851] [Thread-1/INFO] [Puzzles Lib/]: Reloading common config for mutantmonsters
[23Mar2025 18:51:53.851] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.851] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.suns_blessing was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.852] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.suns_blessing.suns_blessing_duration was corrected from null to its default, 60. 
[23Mar2025 18:51:53.852] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.suns_blessing.suns_blessing_attack_multiplier was corrected from null to its default, 1.0. 
[23Mar2025 18:51:53.852] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.suns_blessing.solar_beam_cost was corrected from null to its default, 5. 
[23Mar2025 18:51:53.852] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.supernova_cost was corrected from null to its default, 60. 
[23Mar2025 18:51:53.852] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.wrought_helm was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.852] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.wrought_helm.armor_config was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.853] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.wrought_helm.armor_config.damage_reduction_multiplier was corrected from null to its default, 1.0. 
[23Mar2025 18:51:53.853] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.wrought_helm.armor_config.toughness_multiplier was corrected from null to its default, 1.0. 
[23Mar2025 18:51:53.853] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.wrought_helm.breakable was corrected from null to its default, false. 
[23Mar2025 18:51:53.853] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.axe_of_a_thousand_metals was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.853] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.axe_of_a_thousand_metals.tool_config was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.853] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.axe_of_a_thousand_metals.tool_config.attack_damage was corrected from null to its default, 9.0. 
[23Mar2025 18:51:53.854] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.axe_of_a_thousand_metals.tool_config.attack_speed was corrected from null to its default, 0.8999999761581421. 
[23Mar2025 18:51:53.854] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.axe_of_a_thousand_metals.breakable was corrected from null to its default, false. 
[23Mar2025 18:51:53.854] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.sol_visage was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.854] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.sol_visage.armor_config was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.854] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.sol_visage.armor_config.damage_reduction_multiplier was corrected from null to its default, 1.0. 
[23Mar2025 18:51:53.854] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.sol_visage.armor_config.toughness_multiplier was corrected from null to its default, 1.0. 
[23Mar2025 18:51:53.855] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.sol_visage.breakable was corrected from null to its default, false. 
[23Mar2025 18:51:53.855] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.sol_visage.max_followers was corrected from null to its default, 10. 
[23Mar2025 18:51:53.855] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.ice_crystal was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Mar2025 18:51:53.855] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.ice_crystal.attack_multiplier was corrected from null to its default, 1.0. 
[23Mar2025 18:51:53.855] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.ice_crystal.breakable was corrected from null to its default, false. 
[23Mar2025 18:51:53.855] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key tools_and_abilities.ice_crystal.durability was corrected from null to its default, 600. 
